"draw_date";"company_code";"number";"category";"position"
"2018-01-03";"DMC";"9990";"FST";1
"2018-01-03";"DMC";"2150";"SCD";2
"2018-01-03";"DMC";"2638";"TRD";3
"2018-01-03";"DMC";"1025";"SP";1
"2018-01-03";"DMC";"1017";"SP";2
"2018-01-03";"DMC";"4172";"SP";3
"2018-01-03";"DMC";"9615";"SP";4
"2018-01-03";"DMC";"1321";"SP";5
"2018-01-03";"DMC";"8414";"SP";6
"2018-01-03";"DMC";"2073";"SP";7
"2018-01-03";"DMC";"9380";"SP";8
"2018-01-03";"DMC";"8072";"SP";9
"2018-01-03";"DMC";"7702";"SP";10
"2018-01-03";"DMC";"8109";"CONS";1
"2018-01-03";"DMC";"2654";"CONS";2
"2018-01-03";"DMC";"9532";"CONS";3
"2018-01-03";"DMC";"7431";"CONS";4
"2018-01-03";"DMC";"8565";"CONS";5
"2018-01-03";"DMC";"3756";"CONS";6
"2018-01-03";"DMC";"7155";"CONS";7
"2018-01-03";"DMC";"4666";"CONS";8
"2018-01-03";"DMC";"8638";"CONS";9
"2018-01-03";"DMC";"7558";"CONS";10
"2018-01-03";"MAG";"3996";"FST";1
"2018-01-03";"MAG";"9931";"SCD";2
"2018-01-03";"MAG";"6122";"TRD";3
"2018-01-03";"MAG";"1063";"SP";1
"2018-01-03";"MAG";"7776";"SP";2
"2018-01-03";"MAG";"5412";"SP";3
"2018-01-03";"MAG";"3305";"SP";4
"2018-01-03";"MAG";"----";"SP";5
"2018-01-03";"MAG";"9708";"SP";6
"2018-01-03";"MAG";"8705";"SP";7
"2018-01-03";"MAG";"4468";"SP";8
"2018-01-03";"MAG";"1218";"SP";9
"2018-01-03";"MAG";"----";"SP";10
"2018-01-03";"MAG";"1098";"SP";11
"2018-01-03";"MAG";"7841";"SP";12
"2018-01-03";"MAG";"----";"SP";13
"2018-01-03";"MAG";"8582";"CONS";1
"2018-01-03";"MAG";"0154";"CONS";2
"2018-01-03";"MAG";"5845";"CONS";3
"2018-01-03";"MAG";"3548";"CONS";4
"2018-01-03";"MAG";"1910";"CONS";5
"2018-01-03";"MAG";"4833";"CONS";6
"2018-01-03";"MAG";"7489";"CONS";7
"2018-01-03";"MAG";"3289";"CONS";8
"2018-01-03";"MAG";"1935";"CONS";9
"2018-01-03";"MAG";"4690";"CONS";10
"2018-01-03";"ST";"7657";"FST";1
"2018-01-03";"ST";"6085";"SCD";2
"2018-01-03";"ST";"1937";"TRD";3
"2018-01-03";"ST";"3560";"SP";1
"2018-01-03";"ST";"3471";"SP";2
"2018-01-03";"ST";"----";"SP";3
"2018-01-03";"ST";"9997";"SP";4
"2018-01-03";"ST";"6171";"SP";5
"2018-01-03";"ST";"2657";"SP";6
"2018-01-03";"ST";"7118";"SP";7
"2018-01-03";"ST";"9444";"SP";8
"2018-01-03";"ST";"3294";"SP";9
"2018-01-03";"ST";"3336";"SP";10
"2018-01-03";"ST";"----";"SP";11
"2018-01-03";"ST";"----";"SP";12
"2018-01-03";"ST";"6557";"SP";13
"2018-01-03";"ST";"6069";"CONS";1
"2018-01-03";"ST";"0192";"CONS";2
"2018-01-03";"ST";"6394";"CONS";3
"2018-01-03";"ST";"4947";"CONS";4
"2018-01-03";"ST";"0690";"CONS";5
"2018-01-03";"ST";"5549";"CONS";6
"2018-01-03";"ST";"2505";"CONS";7
"2018-01-03";"ST";"8553";"CONS";8
"2018-01-03";"ST";"3788";"CONS";9
