"number";"pattern";"group_4";"group_3";"group_2";"group_1";"odd_even";"big_small"
"0000";"AAAA";"0***";"*0**";"**0*";"***0";"EEEE";"SSSS"
"0001";"AAAB";"0***";"*0**";"**0*";"***1";"EEEO";"SSSS"
"0002";"AAAB";"0***";"*0**";"**0*";"***2";"EEEE";"SSSS"
"0003";"AAAB";"0***";"*0**";"**0*";"***3";"EEEO";"SSSS"
"0004";"AAAB";"0***";"*0**";"**0*";"***4";"EEEE";"SSSS"
"0005";"AAAB";"0***";"*0**";"**0*";"***5";"EEEO";"SSSB"
"0006";"AAAB";"0***";"*0**";"**0*";"***6";"EEEE";"SSSB"
"0007";"AAAB";"0***";"*0**";"**0*";"***7";"EEEO";"SSSB"
"0008";"AAAB";"0***";"*0**";"**0*";"***8";"EEEE";"SSSB"
"0009";"AAAB";"0***";"*0**";"**0*";"***9";"EEEO";"SSSB"
"0010";"AABA";"0***";"*0**";"**1*";"***0";"EEOE";"SSSS"
"0011";"AABB";"0***";"*0**";"**1*";"***1";"EEOO";"SSSS"
"0012";"AABC";"0***";"*0**";"**1*";"***2";"EEOE";"SSSS"
"0013";"AABC";"0***";"*0**";"**1*";"***3";"EEOO";"SSSS"
"0014";"AABC";"0***";"*0**";"**1*";"***4";"EEOE";"SSSS"
"0015";"AABC";"0***";"*0**";"**1*";"***5";"EEOO";"SSSB"
"0016";"AABC";"0***";"*0**";"**1*";"***6";"EEOE";"SSSB"
"0017";"AABC";"0***";"*0**";"**1*";"***7";"EEOO";"SSSB"
"0018";"AABC";"0***";"*0**";"**1*";"***8";"EEOE";"SSSB"
"0019";"AABC";"0***";"*0**";"**1*";"***9";"EEOO";"SSSB"
"0020";"AABA";"0***";"*0**";"**2*";"***0";"EEEE";"SSSS"
"0021";"AABC";"0***";"*0**";"**2*";"***1";"EEEO";"SSSS"
"0022";"AABB";"0***";"*0**";"**2*";"***2";"EEEE";"SSSS"
"0023";"AABC";"0***";"*0**";"**2*";"***3";"EEEO";"SSSS"
"0024";"AABC";"0***";"*0**";"**2*";"***4";"EEEE";"SSSS"
"0025";"AABC";"0***";"*0**";"**2*";"***5";"EEEO";"SSSB"
"0026";"AABC";"0***";"*0**";"**2*";"***6";"EEEE";"SSSB"
"0027";"AABC";"0***";"*0**";"**2*";"***7";"EEEO";"SSSB"
"0028";"AABC";"0***";"*0**";"**2*";"***8";"EEEE";"SSSB"
"0029";"AABC";"0***";"*0**";"**2*";"***9";"EEEO";"SSSB"
"0030";"AABA";"0***";"*0**";"**3*";"***0";"EEOE";"SSSS"
"0031";"AABC";"0***";"*0**";"**3*";"***1";"EEOO";"SSSS"
"0032";"AABC";"0***";"*0**";"**3*";"***2";"EEOE";"SSSS"
"0033";"AABB";"0***";"*0**";"**3*";"***3";"EEOO";"SSSS"
"0034";"AABC";"0***";"*0**";"**3*";"***4";"EEOE";"SSSS"
"0035";"AABC";"0***";"*0**";"**3*";"***5";"EEOO";"SSSB"
"0036";"AABC";"0***";"*0**";"**3*";"***6";"EEOE";"SSSB"
"0037";"AABC";"0***";"*0**";"**3*";"***7";"EEOO";"SSSB"
"0038";"AABC";"0***";"*0**";"**3*";"***8";"EEOE";"SSSB"
"0039";"AABC";"0***";"*0**";"**3*";"***9";"EEOO";"SSSB"
"0040";"AABA";"0***";"*0**";"**4*";"***0";"EEEE";"SSSS"
"0041";"AABC";"0***";"*0**";"**4*";"***1";"EEEO";"SSSS"
"0042";"AABC";"0***";"*0**";"**4*";"***2";"EEEE";"SSSS"
"0043";"AABC";"0***";"*0**";"**4*";"***3";"EEEO";"SSSS"
"0044";"AABB";"0***";"*0**";"**4*";"***4";"EEEE";"SSSS"
"0045";"AABC";"0***";"*0**";"**4*";"***5";"EEEO";"SSSB"
"0046";"AABC";"0***";"*0**";"**4*";"***6";"EEEE";"SSSB"
"0047";"AABC";"0***";"*0**";"**4*";"***7";"EEEO";"SSSB"
"0048";"AABC";"0***";"*0**";"**4*";"***8";"EEEE";"SSSB"
"0049";"AABC";"0***";"*0**";"**4*";"***9";"EEEO";"SSSB"
"0050";"AABA";"0***";"*0**";"**5*";"***0";"EEOE";"SSBS"
"0051";"AABC";"0***";"*0**";"**5*";"***1";"EEOO";"SSBS"
"0052";"AABC";"0***";"*0**";"**5*";"***2";"EEOE";"SSBS"
"0053";"AABC";"0***";"*0**";"**5*";"***3";"EEOO";"SSBS"
"0054";"AABC";"0***";"*0**";"**5*";"***4";"EEOE";"SSBS"
"0055";"AABB";"0***";"*0**";"**5*";"***5";"EEOO";"SSBB"
"0056";"AABC";"0***";"*0**";"**5*";"***6";"EEOE";"SSBB"
"0057";"AABC";"0***";"*0**";"**5*";"***7";"EEOO";"SSBB"
"0058";"AABC";"0***";"*0**";"**5*";"***8";"EEOE";"SSBB"
"0059";"AABC";"0***";"*0**";"**5*";"***9";"EEOO";"SSBB"
"0060";"AABA";"0***";"*0**";"**6*";"***0";"EEEE";"SSBS"
"0061";"AABC";"0***";"*0**";"**6*";"***1";"EEEO";"SSBS"
"0062";"AABC";"0***";"*0**";"**6*";"***2";"EEEE";"SSBS"
"0063";"AABC";"0***";"*0**";"**6*";"***3";"EEEO";"SSBS"
"0064";"AABC";"0***";"*0**";"**6*";"***4";"EEEE";"SSBS"
"0065";"AABC";"0***";"*0**";"**6*";"***5";"EEEO";"SSBB"
"0066";"AABB";"0***";"*0**";"**6*";"***6";"EEEE";"SSBB"
"0067";"AABC";"0***";"*0**";"**6*";"***7";"EEEO";"SSBB"
"0068";"AABC";"0***";"*0**";"**6*";"***8";"EEEE";"SSBB"
